id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
61309,61502,109590,,,,,12.601492,-42.309646,286.895,-114.83,32.44,29.0,7.990,3.269,sdF2,0.449,-64.236569,-10.199688,-59.203047,-0.00003853,0.00004345,-0.00000974,3.2990629817739427,-0.7384426298563763,-0.0000005567115493819444,0.000000157273557,,,,1,61309,,4.289434099967815,,,
62900,63100,,,,,,12.928031,12.558541,543.667,-282.23,-257.15,0.0,11.320,5.211,sdF4:,0.521,-157.901318,-39.136438,36.239510,-0.00009871,0.00021046,-0.00020279,3.384550622465557,0.21918788538918374,-0.0000013682896506319446,-0.000001246698379,,,,1,62900,,0.7171334826577207,,11.393,11.253
63405,63608,113226,4932,,47Eps Vir,Vindemiatrix,13.036278,10.959150,109.61,-275.05,19.96,-14.0,2.850,0.218,G8IIIvar,0.934,-31.782664,-8.840495,6.388060,0.00000213,0.00004710,0.00000047,3.4128895430497517,0.1912732567270875,-0.0000013334800283680557,0.00000009676881,Eps,47,Vir,1,63405,,71.25248247522671,,,
63929,64132,,,,,,13.144201,51.066460,526.129,-67.14,-223.81,0.0,10.210,4.172,sdF6:,0.341,-96.844302,-29.909650,125.463760,-0.00014555,0.00000999,-0.00010997,3.4411437728408303,0.8912778677118925,-0.00000032550390512500007,-0.000001085061498,,,,1,63929,,1.8672393883829488,,10.257,10.127
65213,65418,,,,,,13.408501,20.456142,1045.51,-96.11,-201.25,0.0,12.180,4.651,sdF:,0.468,-280.115206,-108.241937,112.016113,-0.00015577,0.00009990,-0.00029297,3.5103373088987517,0.357027035734095,-0.00000046595442838194445,-0.000000975687532,,,,1,65213,,1.2011576179375785,,12.326,11.946
66463,66673,,,,,,13.667359,-0.038542,326200,-230.46,-80.32,0.0,11.470,-8.530,sdF0::,0.405,-90623.099726,-42278.236390,-67.268392,-0.04721083,0.10125513,-0.03893685,3.578106145610928,-0.000672684270545,-0.0000011173016082083332,-0.000000389402348,,,,1,66463,,224905.46058357827,,11.518,11.348
67088,67301,120315,5191,,85Eta UMa,Alkaid,13.792354,49.313265,103.951,-121.23,-15.56,-11.0,1.850,-0.667,B3V SB,-0.099,-18.529548,-9.394541,24.164506,-0.00000355,0.00001920,-0.00001010,3.6108299012782816,0.8606788389261799,-0.0000005877396249374999,-0.000000075437008,Eta,85,UMa,1,67088,,160.99040762157054,,,
67711,67927,121370,5235,Gl 534,8Eta Boo,Mufrid,13.911411,18.397717,37.1738,-60.95,-358.10,1.0,2.680,2.396,G0IV,0.580,-9.487671,-5.188142,3.596709,-0.00000795,-0.00000051,-0.00001845,3.64199895242804,0.3211007359693375,-0.00000029549393829861114,-0.00000173611779,Eta,8,Boo,1,67711,,9.585173976856456,,,
68309,68527,,,,,,14.029023,8.921508,339.085,162.46,-749.20,0.0,11.570,6.486,sdG3:,0.746,-88.541597,-52.020491,16.120712,-0.00000902,-0.00010025,-0.00037297,3.6727895217476725,0.15570969503917748,0.0000007876283054305556,-0.000003632224094,,,,1,68309,,0.22161543259597194,,11.671,11.481
68483,68702,122451,5267,,Bet Cen,Hadar,14.063729,-60.373039,392.067,-33.96,-25.06,6.0,0.610,-4.789,B1III,-0.231,-50.954051,-30.562870,-104.478695,-0.00000189,0.00002194,-0.00001255,3.681875660376148,-1.053708314075195,-0.0000001646427259166667,-0.000000121494308,Bet,,Cen,1,68483,,7171.33482657721,Bet,0.634,0.594
72335,72561,,,,,,14.835501,0.840886,652.4,-286.20,-101.01,0.0,11.050,4.545,sdF5:,0.413,-147.362902,-135.187130,2.935140,-0.00018864,0.00020350,-0.00009792,3.883925021053405,0.014676226034892501,-0.00000138753675375,-0.000000489710298,,,,1,72335,,1.3243415351946644,,11.113,10.963
