0 0.000000 0.000000 
1553.33 0.028135 -34.653545 132
681.002 0.028230 -40.148702 133
2812.07 0.028346 -1.139960 134
163.345 0.028453 -0.217777 135
588.809 0.028579 24.253113 136
1221.72 0.028847 42.367144 137
538.284 0.029162 -16.531661 138
1364.85 0.029686 67.506975 139
365.286 0.030195 -68.104897 140
755.093 0.030232 36.350358 141
194.63 0.030251 66.306032 142
1240.3 0.030342 76.175597 144
148.543 0.030374 21.462502 143
454.318 0.030402 -3.027504 145
865.252 0.030392 -25.798526 146
326200 0.031071 21.026236 147
148.475 0.031862 26.004049 149
836.41 0.031921 15.528542 148
396.355 0.032021 -37.229953 150
617.803 0.032295 -28.130948 152
578.369 0.032301 12.654888 153
443.207 0.032320 -41.613774 151
432.053 0.032672 -6.014072 154
1019.38 0.032745 46.269156 155
973.731 0.033127 63.357826 156
576.325 0.033362 -5.213925 157
501.075 0.033384 -37.901878 158
203.748 0.034060 -2.766171 159
1524.3 0.034117 -69.269198 160
2026.09 0.034162 33.695958 161
1274.22 0.034224 27.118603 162
856.168 0.034479 -30.685228 163
942.774 0.034590 59.940102 164
2490.08 0.034649 -22.327486 165
347.761 0.034761 -56.514931 166
751.613 0.035188 39.183203 167
2281.12 0.035562 -2.820072 168
49.9999 0.035702 -68.280769 169
692.569 0.035840 -20.871662 170
39.6982 0.036139 27.082256 171
2861.4 0.036192 67.408952 172
1240.3 0.036639 47.577206 173
691.102 0.036774 59.965338 174
721.681 0.036828 49.771086 175
704.536 0.036892 44.428262 176
776.667 0.037348 -11.964352 177
354.951 0.037869 -27.135153 178
212.924 0.037966 -13.407437 179
934.671 0.038061 -9.174928 180
1186.18 0.038253 60.703168 181
1406.03 0.038746 52.586407 182
502.619 0.038867 -29.720414 183
101.747 0.039318 11.006236 184
252.477 0.039336 10.785363 185
400.737 0.040046 8.956824 186
419.82 0.040152 -6.059270 187
327.839 0.040179 6.333013 188
1326.02 0.040350 54.135139 189
285.389 0.040362 10.776364 190
125.173 0.040850 -46.028896 191
888.828 0.041322 8.393859 192
720.088 0.041447 -39.212591 193
120.369 0.041584 8.485463 194
383.765 0.041718 47.422890 195
326200 0.041800 51.829976 196
2330 0.042154 42.147779 197
724.889 0.042183 15.335173 198
830.025 0.042334 16.256565 199
842.894 0.042366 -33.992633 200
300.645 0.042619 18.683407 201
2249.66 0.042783 54.552139 202
1274.22 0.042819 -15.831251 203
2146.05 0.043012 -43.947929 204
406.733 0.043043 -5.186651 205
339.085 0.043120 18.836044 206
956.598 0.043332 -67.634287 208
326200 0.043357 66.098966 207
326200 0.044012 66.100399 209
439.623 0.044143 -8.487955 210
639.608 0.044214 -37.947721 211
632.17 0.044233 -29.075247 212
468.678 0.044464 51.472401 213
865.252 0.044611 28.542221 214
1144.56 0.044959 82.973202 217
1496.33 0.044967 75.036211 215
842.894 0.045126 42.920649 216
1160.85 0.045312 -57.633670 218
320.432 0.046020 6.034400 219
575.309 0.046118 35.815467 220
485.417 0.046222 80.282283 221
1376.37 0.046298 -40.983229 222
1132.64 0.046417 3.860416 224
139.045 0.046437 2.130155 223
380.186 0.046674 -15.040543 225
326200 0.046696 -24.945298 226
284.642 0.046952 80.286579 227
328.831 0.047350 28.251905 228
1144.56 0.047599 47.252268 229
428.646 0.047724 30.336542 230
926.705 0.048240 -58.781398 231
601.845 0.048674 -30.149773 232
1098.32 0.048797 71.358516 233
1599.02 0.048906 70.238000 234
962.242 0.049098 71.368030 235
1199.26 0.049191 -0.893874 236
515.324 0.049284 -39.527412 237
199.511 0.049301 -20.045882 238
541.861 0.049546 3.381932 239
967.953 0.049582 9.795231 240
884.011 0.050135 9.138279 241
464.672 0.050148 -34.743939 242
997.554 0.050224 -60.691901 243
865.252 0.050591 39.995144 244
736.343 0.050916 -7.815517 245
181.021 0.050941 56.733298 246
600.737 0.051029 8.261293 247
361.24 0.051044 8.270683 248
263.916 0.051615 31.870083 249
813.466 0.051620 52.465128 250
326200 0.051689 -25.261114 251
326200 0.051975 29.485979 252
664.358 0.052181 -24.145145 253
529.546 0.052317 42.747908 254
299.266 0.052977 -24.588258 255
733.034 0.053107 54.515774 256
694.043 0.053537 -31.212384 257
559.52 0.053698 17.552268 258
